model,run_id,template_id,baseline,metric,baseline_unreadable_or_missing_n,other_unreadable_or_missing_n,delta,ci_low,ci_high,n_complete_pairs,n_excluded_single_arm,cluster_field,n_clusters
qwen3.8-27b,weak-probe-must-20260916-172309-4743c746,nice_if,useful_if,strict,0,0,0.0,0.0,0.0,180,0,seed_id,180
qwen3.8-27b,weak-probe-must-20260916-172309-4743c746,nice_if,useful_if,broad,0,0,0.0,0.0,0.0,180,0,seed_id,180
qwen3.8-27b,weak-probe-must-20260916-172309-4743c746,low_priority_enhancement,useful_if,strict,0,0,-0.005555555555555536,-0.01666666666666672,0.0,180,0,seed_id,180
qwen3.8-27b,weak-probe-must-20260916-172309-4743c746,low_priority_enhancement,useful_if,broad,0,0,0.0,0.0,0.0,180,0,seed_id,180
qwen3.8-27b,weak-probe-must-20260916-172309-4743c746,future_enhancement,useful_if,strict,0,0,-0.061111111111111116,-0.09999999999999998,-0.02777777777777779,180,0,seed_id,180
qwen3.8-27b,weak-probe-must-20260916-172309-4743c746,future_enhancement,useful_if,broad,0,0,0.0,0.0,0.0,180,0,seed_id,180
