slice_kind,slice,threshold,dispersion_weight,entropy_weight,is_reference,n,n_positive,auroc,auroc_undefined,ci_low,ci_high,delta_vs_reference,delta_ci_low,delta_ci_high,n_defined_draws,ci_cluster_field,n_clusters
model,glm-5.3,0.1,0.1,0.9,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.1,0.2,0.8,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.1,0.3,0.7,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.1,0.5,0.5,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.1,1.0,0.0,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.2,0.0,1.0,False,2880,725,0.5,False,0.5,0.5,-0.17247107768621495,-0.19768700738998932,-0.1455611472113576,1000,seed_id,360
model,glm-5.3,0.2,0.1,0.9,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.2,0.2,0.8,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.2,0.3,0.7,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.2,0.5,0.5,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.2,1.0,0.0,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.35,0.0,1.0,False,2880,725,0.5,False,0.5,0.5,-0.17247107768621495,-0.19768700738998932,-0.1455611472113576,1000,seed_id,360
model,glm-5.3,0.35,0.1,0.9,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.35,0.2,0.8,True,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.35,0.3,0.7,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.35,0.5,0.5,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.35,1.0,0.0,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.5,0.0,1.0,False,2880,725,0.5,False,0.5,0.5,-0.17247107768621495,-0.19768700738998932,-0.1455611472113576,1000,seed_id,360
model,glm-5.3,0.5,0.1,0.9,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.5,0.2,0.8,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.5,0.3,0.7,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.5,0.5,0.5,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.5,1.0,0.0,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.7,0.0,1.0,False,2880,725,0.5,False,0.5,0.5,-0.17247107768621495,-0.19768700738998932,-0.1455611472113576,1000,seed_id,360
model,glm-5.3,0.7,0.1,0.9,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.7,0.2,0.8,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.7,0.3,0.7,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.7,0.5,0.5,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3,0.7,1.0,0.0,False,2880,725,0.672471077686215,False,0.6455611472113576,0.6976870073899893,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.1,0.0,1.0,False,2879,752,0.5005833058248057,False,0.4987657004467825,0.5027957094883289,-0.26385398223449263,-0.28896328698097234,-0.24065990569172382,1000,seed_id,360
model,glm-5.3-flash,0.1,0.1,0.9,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.1,0.2,0.8,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.1,0.3,0.7,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.1,0.5,0.5,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.1,1.0,0.0,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.2,0.0,1.0,False,2879,752,0.5,False,0.5,0.5,-0.26443728805929834,-0.288968651725219,-0.24038276907683673,1000,seed_id,360
model,glm-5.3-flash,0.2,0.1,0.9,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.2,0.2,0.8,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.2,0.3,0.7,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.2,0.5,0.5,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.2,1.0,0.0,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.35,0.0,1.0,False,2879,752,0.5,False,0.5,0.5,-0.26443728805929834,-0.288968651725219,-0.24038276907683673,1000,seed_id,360
model,glm-5.3-flash,0.35,0.1,0.9,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.35,0.2,0.8,True,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.35,0.3,0.7,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.35,0.5,0.5,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.35,1.0,0.0,False,2879,752,0.7644372880592983,False,0.7403827690768368,0.788968651725219,0.0,0.0,0.0,1000,seed_id,360
model,glm-5.3-flash,0.5,0.0,1.0,False,2879,752,0.5,False,0.5,0.5,-0.26443728805929834,-0.288968651725219,-0.24038276907683673,1000,seed_id,360
