model,run_id,template_id,sample_kind,n,valid_n,parse_success_rate,accuracy,to_recommended_rate,over_commitment,high_conf_overcommit_80,high_conf_overcommit_90,pred_mandatory_rate,pred_recommended_rate,pred_optional_rate,pred_nice_to_have_rate,mean_confidence,unresolved_n,no_readable_cue_n,strict_text_over_commitment,strict_text_over_commitment_n_numerator,strict_text_over_commitment_n_denominator,strict_text_over_commitment_ci_low,strict_text_over_commitment_ci_high,strict_text_over_commitment_seed_ci_low,strict_text_over_commitment_seed_ci_high,text_over_commitment,text_over_commitment_n_numerator,text_over_commitment_n_denominator,text_over_commitment_ci_low,text_over_commitment_ci_high,text_over_commitment_seed_ci_low,text_over_commitment_seed_ci_high,bootstrap_ci_cluster_field
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,future_enhancement,deterministic,180,180,1.0,0.9722222222222222,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.9722222222222222,0.9011111111111114,0,0,0.9333333333333333,168,180,0.8944444444444445,0.9666666666666667,0.8944444444444445,0.9666666666666667,0.9333333333333333,168,180,0.8944444444444445,0.9666666666666667,0.8944444444444445,0.9666666666666667,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,low_priority_enhancement,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0,0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,nice_if,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9958333333333333,0,0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,useful_if,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9005555555555559,0,0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,future_enhancement,stochastic,900,900,1.0,0.96,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.96,0.9040000000000001,0,0,0.9333333333333333,840,900,0.9010833333333333,0.9633333333333334,0.9010833333333333,0.9633333333333334,0.9344444444444444,841,900,0.9022222222222223,0.9644444444444444,0.9022222222222223,0.9644444444444444,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,low_priority_enhancement,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9510555555555553,0,0,1.0,900,900,1.0,1.0,1.0,1.0,1.0,900,900,1.0,1.0,1.0,1.0,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,nice_if,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.992611111111111,0,0,0.9822222222222222,884,900,0.9733333333333334,0.99,0.9733333333333334,0.99,1.0,900,900,1.0,1.0,1.0,1.0,item_id
gemma4-31b-it,weak-probe-must-20260916-175325-d4c27c2a,useful_if,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9061666666666668,0,0,0.9833333333333333,885,900,0.9755277777777778,0.9911111111111112,0.9755277777777778,0.9911111111111112,1.0,900,900,1.0,1.0,1.0,1.0,item_id
