model,run_id,template_id,sample_kind,n,valid_n,parse_success_rate,accuracy,to_recommended_rate,over_commitment,high_conf_overcommit_80,high_conf_overcommit_90,pred_mandatory_rate,pred_recommended_rate,pred_optional_rate,pred_nice_to_have_rate,mean_confidence,unresolved_n,no_readable_cue_n,strict_text_over_commitment,strict_text_over_commitment_n_numerator,strict_text_over_commitment_n_denominator,strict_text_over_commitment_ci_low,strict_text_over_commitment_ci_high,strict_text_over_commitment_seed_ci_low,strict_text_over_commitment_seed_ci_high,text_over_commitment,text_over_commitment_n_numerator,text_over_commitment_n_denominator,text_over_commitment_ci_low,text_over_commitment_ci_high,text_over_commitment_seed_ci_low,text_over_commitment_seed_ci_high,bootstrap_ci_cluster_field
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,future_enhancement,deterministic,180,180,1.0,0.0,0.03333333333333333,1.0,1.0,1.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.95,0,0,0.044444444444444446,8,180,0.016666666666666666,0.07236111111111097,0.016666666666666666,0.07236111111111097,0.044444444444444446,8,180,0.016666666666666666,0.07236111111111097,0.016666666666666666,0.07236111111111097,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,low_priority_enhancement,deterministic,180,180,1.0,0.0,0.2833333333333333,1.0,1.0,1.0,0.0,0.2833333333333333,0.7166666666666667,0.0,0.95,0,0,0.9166666666666666,165,180,0.8722222222222222,0.95,0.8722222222222222,0.95,1.0,180,180,1.0,1.0,1.0,1.0,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,nice_if,deterministic,180,180,1.0,0.0,0.9944444444444445,1.0,1.0,1.0,0.0,0.9944444444444445,0.005555555555555556,0.0,0.95,0,0,0.9666666666666667,174,180,0.9388888888888889,0.9888888888888889,0.9388888888888889,0.9888888888888889,1.0,180,180,1.0,1.0,1.0,1.0,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,useful_if,deterministic,180,180,1.0,0.0,0.9833333333333333,1.0,1.0,1.0,0.016666666666666666,0.9833333333333333,0.0,0.0,0.95,0,0,0.9833333333333333,177,180,0.9611111111111111,1.0,0.9611111111111111,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,future_enhancement,stochastic,900,900,1.0,0.0,0.14222222222222222,1.0,1.0,1.0,0.0011111111111111111,0.14222222222222222,0.8566666666666667,0.0,0.9566444444444442,0,16,0.2319004524886878,205,884,0.2020316027088036,0.265914817769999,0.2020316027088036,0.265914817769999,0.29411764705882354,260,884,0.26042841037204056,0.32771104319415895,0.26042841037204056,0.32771104319415895,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,low_priority_enhancement,stochastic,900,900,1.0,0.0,0.4077777777777778,1.0,1.0,1.0,0.0,0.4077777777777778,0.5922222222222222,0.0,0.9627333333333332,0,19,0.8830874006810443,778,881,0.8550228310502284,0.9070294784580499,0.8550228310502284,0.9070294784580499,1.0,881,881,1.0,1.0,1.0,1.0,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,nice_if,stochastic,900,900,1.0,0.03,0.9322222222222222,0.97,0.97,0.97,0.0033333333333333335,0.9322222222222222,0.034444444444444444,0.03,0.9558333333333331,0,18,0.9263038548752834,817,882,0.9040604953386642,0.9465362033712251,0.9040604953386642,0.9465362033712251,0.9727891156462585,858,882,0.9617966785050744,0.9819009637753406,0.9617966785050744,0.9819009637753406,item_id
qwen3.5-9b,weak-probe-must-20260916-174515-633df89c,useful_if,stochastic,900,900,1.0,0.0,0.9811111111111112,1.0,1.0,0.9966666666666667,0.016666666666666666,0.9811111111111112,0.0022222222222222222,0.0,0.9539222222222219,0,8,0.9248878923766816,825,892,0.901565995525727,0.9440105243116359,0.901565995525727,0.9440105243116359,0.9708520179372198,866,892,0.9595948246510044,0.9809438310778347,0.9595948246510044,0.9809438310778347,item_id
