model,run_id,template_id,sample_kind,n,valid_n,parse_success_rate,accuracy,to_recommended_rate,over_commitment,high_conf_overcommit_80,high_conf_overcommit_90,pred_mandatory_rate,pred_recommended_rate,pred_optional_rate,pred_nice_to_have_rate,mean_confidence,unresolved_n,no_readable_cue_n,strict_text_over_commitment,strict_text_over_commitment_n_numerator,strict_text_over_commitment_n_denominator,strict_text_over_commitment_ci_low,strict_text_over_commitment_ci_high,strict_text_over_commitment_seed_ci_low,strict_text_over_commitment_seed_ci_high,text_over_commitment,text_over_commitment_n_numerator,text_over_commitment_n_denominator,text_over_commitment_ci_low,text_over_commitment_ci_high,text_over_commitment_seed_ci_low,text_over_commitment_seed_ci_high,bootstrap_ci_cluster_field
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,future_enhancement,deterministic,180,180,1.0,0.9944444444444445,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.9944444444444445,0.8618333333333331,0,0,0.9888888888888889,178,180,0.9722222222222222,1.0,0.9722222222222222,1.0,0.9944444444444445,179,180,0.9833333333333333,1.0,0.9833333333333333,1.0,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,low_priority_enhancement,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8778888888888888,0,0,0.9944444444444445,179,180,0.9833333333333333,1.0,0.9833333333333333,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,nice_if,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9503333333333334,0,0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,useful_if,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8983333333333335,0,0,0.9944444444444445,179,180,0.9833333333333333,1.0,0.9833333333333333,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,future_enhancement,stochastic,900,900,1.0,0.99,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.99,0.8692,0,1,0.9410456062291435,846,899,0.9210211606065636,0.9610678531701891,0.9210211606065636,0.9610678531701891,0.9911012235817576,891,899,0.9833333333333333,0.9966942586399108,0.9833333333333333,0.9966942586399108,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,low_priority_enhancement,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8926222222222222,0,1,0.8943270300333704,804,899,0.87,0.9165762884686689,0.87,0.9165762884686689,1.0,899,899,1.0,1.0,1.0,1.0,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,nice_if,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9521555555555553,0,2,0.9977728285077951,896,898,0.9944196428571429,1.0,0.9944196428571429,1.0,1.0,898,898,1.0,1.0,1.0,1.0,item_id
muse-glimmer-30b,weak-probe-must-20260913-014338-191ed7e6,useful_if,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8960333333333335,0,0,0.9933333333333333,894,900,0.9844444444444445,1.0,0.9844444444444445,1.0,1.0,900,900,1.0,1.0,1.0,1.0,item_id
