model,arm,stratum,metric,baseline_arm,baseline_value,arm_value,full_arm_baseline_descriptive,full_arm_comparison_descriptive,delta,delta_ci_low,delta_ci_high,delta_cluster_field,n_delta_clusters,n_baseline,n_arm,n_complete_pairs,n_excluded_single_arm,n_matched_capabilities,n_excluded_ineligible_items,n_duplicate_identities,n_missing_identity_rows,n_baseline_failed_items,n_comparison_failed_items,n_baseline_unclassified_items,n_comparison_unclassified_items,n_baseline_eligible_items,n_comparison_eligible_items,unavailable_reason,delta_ci_unavailable_reason,cluster_note
gemma4-12b-it,shuffled,weak_intent,strict_text_strengthening,single,1.0,0.5722222222222222,1.0,0.5722222222222222,-0.4277777777777778,-0.5,-0.3555555555555555,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled,weak_intent,broad_text_strengthening,single,1.0,0.5722222222222222,1.0,0.5722222222222222,-0.4277777777777778,-0.5,-0.3555555555555555,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled_4,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled_4,weak_intent,strict_text_strengthening,single,1.0,0.6111111111111112,1.0,0.6111111111111112,-0.38888888888888884,-0.4555555555555556,-0.31666666666666665,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-12b-it,shuffled_4,weak_intent,broad_text_strengthening,single,1.0,0.6166666666666667,1.0,0.6166666666666667,-0.3833333333333333,-0.44999999999999996,-0.3111111111111111,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped,all,strict_text_strengthening,single,0.24861111111111112,0.1111111111111111,0.24861111111111112,0.1111111111111111,-0.1375,-0.15694444444444444,-0.11805555555555555,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped,all,broad_text_strengthening,single,0.25,0.4777777777777778,0.25,0.4777777777777778,0.2277777777777778,0.18885416666666666,0.2694444444444445,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped_4,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped_4,all,strict_text_strengthening,single,0.24861111111111112,0.24444444444444444,0.24861111111111112,0.24444444444444444,-0.00416666666666668,-0.0111111111111111,0.001388888888888884,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped_4,all,broad_text_strengthening,single,0.25,0.25277777777777777,0.25,0.25277777777777777,0.002777777777777768,-0.00416666666666668,0.011111111111111127,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,1,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled,all,strict_text_strengthening,single,0.24756606397774686,0.18915159944367177,0.24861111111111112,0.18915159944367177,-0.05841446453407509,-0.07510431154381086,-0.0444142259414226,seed_id,180,720,720,719,0,180,1,0,0,0,0,0,1,720,719,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled,all,broad_text_strengthening,single,0.24895688456189152,0.3741307371349096,0.25,0.3741307371349096,0.12517385257301805,0.10306406685236766,0.1476323119777159,seed_id,180,720,720,719,0,180,1,0,0,0,0,0,1,720,719,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled_4,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled_4,all,strict_text_strengthening,single,0.24861111111111112,0.18194444444444444,0.24861111111111112,0.18194444444444444,-0.06666666666666668,-0.08611111111111111,-0.04722222222222222,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled_4,all,broad_text_strengthening,single,0.25,0.4986111111111111,0.25,0.4986111111111111,0.24861111111111112,0.2222222222222222,0.2777777777777778,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped,weak_intent,strict_text_strengthening,single,0.9944444444444445,0.4444444444444444,0.9944444444444445,0.4444444444444444,-0.55,-0.6277777777777778,-0.4722222222222222,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped,weak_intent,broad_text_strengthening,single,1.0,0.9333333333333333,1.0,0.9333333333333333,-0.06666666666666665,-0.10555555555555551,-0.033333333333333326,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped_4,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped_4,weak_intent,strict_text_strengthening,single,0.9944444444444445,0.9777777777777777,0.9944444444444445,0.9777777777777777,-0.01666666666666672,-0.0444444444444444,0.005555555555555536,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,grouped_4,weak_intent,broad_text_strengthening,single,1.0,0.9888888888888889,1.0,0.9888888888888889,-0.011111111111111072,-0.02777777777777779,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,1,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled,weak_intent,strict_text_strengthening,single,0.994413407821229,0.7597765363128491,0.9944444444444445,0.7597765363128491,-0.23463687150837986,-0.3072625698324022,-0.17318435754189943,seed_id,179,180,180,179,0,179,1,0,0,0,0,0,1,180,179,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled,weak_intent,broad_text_strengthening,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,179,180,180,179,0,179,1,0,0,0,0,0,1,180,179,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled_4,weak_intent,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled_4,weak_intent,strict_text_strengthening,single,0.9944444444444445,0.6722222222222223,0.9944444444444445,0.6722222222222223,-0.3222222222222222,-0.3944444444444445,-0.25,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gemma4-31b-it,shuffled_4,weak_intent,broad_text_strengthening,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,180,180,180,0,180,0,0,0,0,0,0,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped,all,strict_text_strengthening,single,0.25277777777777777,0.7236111111111111,0.25277777777777777,0.7236111111111111,0.4708333333333333,0.44999999999999996,0.48750000000000004,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped,all,broad_text_strengthening,single,0.25277777777777777,0.7236111111111111,0.25277777777777777,0.7236111111111111,0.4708333333333333,0.44999999999999996,0.48750000000000004,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped_4,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,4,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped_4,all,strict_text_strengthening,single,0.2527932960893855,0.48044692737430167,0.25277777777777777,0.48044692737430167,0.22765363128491617,0.1885474860335195,0.26815642458100564,seed_id,179,720,720,716,0,179,4,0,0,0,0,0,4,720,716,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,grouped_4,all,broad_text_strengthening,single,0.2527932960893855,0.48044692737430167,0.25277777777777777,0.48044692737430167,0.22765363128491617,0.1885474860335195,0.26815642458100564,seed_id,179,720,720,716,0,179,4,0,0,0,0,0,4,720,716,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled,all,label_accuracy,single,1.0,1.0,1.0,1.0,0.0,0.0,0.0,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled,all,strict_text_strengthening,single,0.25277777777777777,0.6194444444444445,0.25277777777777777,0.6194444444444445,0.3666666666666667,0.3444444444444444,0.38888888888888884,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled,all,broad_text_strengthening,single,0.25277777777777777,0.6194444444444445,0.25277777777777777,0.6194444444444445,0.3666666666666667,0.3444444444444444,0.38888888888888884,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,0,720,720,,,capability-conditional; cross-capability request dependence not modelled
glm-5.3,shuffled_4,all,label_accuracy,single,1.0,0.9930555555555556,1.0,0.9930555555555556,-0.00694444444444442,-0.01388888888888884,-0.001388888888888884,seed_id,180,720,720,720,0,180,0,0,0,0,0,0,8,720,720,,,capability-conditional; cross-capability request dependence not modelled
