model,dataset,variant,source_modality,n_planned,n_readable,n_strict_up,n_broad_only_up,n_equal,n_down,n_unknown,n_negated,n_invalid,n_heuristic
glm-5.3,nice,shall,recommended,180,180,0,0,180,0,0,0,0,0
glm-5.3,nice,shall,mandatory,180,180,0,0,180,0,0,0,0,0
glm-5.3-flash,all,all,nice_to_have,720,719,718,0,1,0,1,0,0,0
glm-5.3-flash,all,all,optional,720,720,6,1,713,0,0,0,0,1
glm-5.3-flash,all,all,recommended,720,720,28,0,692,0,0,0,0,0
glm-5.3-flash,all,all,mandatory,720,720,0,0,720,0,0,0,0,0
glm-5.3-flash,mlm_tapt,must,nice_to_have,180,179,178,0,1,0,1,0,0,0
glm-5.3-flash,mlm_tapt,must,optional,180,180,3,0,177,0,0,0,0,0
glm-5.3-flash,mlm_tapt,must,recommended,180,180,10,0,170,0,0,0,0,0
glm-5.3-flash,mlm_tapt,must,mandatory,180,180,0,0,180,0,0,0,0,0
glm-5.3-flash,mlm_tapt,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
glm-5.3-flash,mlm_tapt,shall,optional,180,180,0,0,180,0,0,0,0,0
glm-5.3-flash,mlm_tapt,shall,recommended,180,180,10,0,170,0,0,0,0,0
glm-5.3-flash,mlm_tapt,shall,mandatory,180,180,0,0,180,0,0,0,0,0
glm-5.3-flash,nice,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
glm-5.3-flash,nice,must,optional,180,180,2,1,177,0,0,0,0,1
glm-5.3-flash,nice,must,recommended,180,180,4,0,176,0,0,0,0,0
glm-5.3-flash,nice,must,mandatory,180,180,0,0,180,0,0,0,0,0
glm-5.3-flash,nice,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
glm-5.3-flash,nice,shall,optional,180,180,1,0,179,0,0,0,0,0
glm-5.3-flash,nice,shall,recommended,180,180,4,0,176,0,0,0,0,0
glm-5.3-flash,nice,shall,mandatory,180,180,0,0,180,0,0,0,0,0
gpt-oss-20b,all,all,nice_to_have,720,578,577,1,0,0,142,0,0,1
gpt-oss-20b,all,all,optional,720,421,3,105,313,0,299,0,0,105
gpt-oss-20b,all,all,recommended,720,472,95,56,321,0,248,0,0,56
gpt-oss-20b,all,all,mandatory,720,500,0,0,499,1,220,0,0,17
gpt-oss-20b,mlm_tapt,must,nice_to_have,180,137,137,0,0,0,43,0,0,0
gpt-oss-20b,mlm_tapt,must,optional,180,100,1,14,85,0,80,0,0,14
gpt-oss-20b,mlm_tapt,must,recommended,180,114,27,13,74,0,66,0,0,13
gpt-oss-20b,mlm_tapt,must,mandatory,180,117,0,0,117,0,63,0,0,3
gpt-oss-20b,mlm_tapt,shall,nice_to_have,180,142,142,0,0,0,38,0,0,0
gpt-oss-20b,mlm_tapt,shall,optional,180,111,0,20,91,0,69,0,0,20
gpt-oss-20b,mlm_tapt,shall,recommended,180,125,30,15,80,0,55,0,0,15
gpt-oss-20b,mlm_tapt,shall,mandatory,180,134,0,0,134,0,46,0,0,5
gpt-oss-20b,nice,must,nice_to_have,180,148,148,0,0,0,32,0,0,0
gpt-oss-20b,nice,must,optional,180,111,1,42,68,0,69,0,0,42
gpt-oss-20b,nice,must,recommended,180,114,21,13,80,0,66,0,0,13
gpt-oss-20b,nice,must,mandatory,180,121,0,0,120,1,59,0,0,2
gpt-oss-20b,nice,shall,nice_to_have,180,151,150,1,0,0,29,0,0,1
gpt-oss-20b,nice,shall,optional,180,99,1,29,69,0,81,0,0,29
gpt-oss-20b,nice,shall,recommended,180,119,17,15,87,0,61,0,0,15
gpt-oss-20b,nice,shall,mandatory,180,128,0,0,128,0,52,0,0,7
muse-glimmer-30b,all,all,nice_to_have,720,720,720,0,0,0,0,0,0,0
muse-glimmer-30b,all,all,optional,720,671,0,121,550,0,49,0,0,121
muse-glimmer-30b,all,all,recommended,720,665,0,67,598,0,55,0,0,67
muse-glimmer-30b,all,all,mandatory,720,642,0,0,642,0,78,0,0,16
muse-glimmer-30b,mlm_tapt,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
muse-glimmer-30b,mlm_tapt,must,optional,180,167,0,15,152,0,13,0,0,15
muse-glimmer-30b,mlm_tapt,must,recommended,180,165,0,18,147,0,15,0,0,18
muse-glimmer-30b,mlm_tapt,must,mandatory,180,157,0,0,157,0,23,0,0,6
muse-glimmer-30b,mlm_tapt,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
muse-glimmer-30b,mlm_tapt,shall,optional,180,168,0,17,151,0,12,0,0,17
muse-glimmer-30b,mlm_tapt,shall,recommended,180,167,0,21,146,0,13,0,0,21
muse-glimmer-30b,mlm_tapt,shall,mandatory,180,159,0,0,159,0,21,0,0,0
muse-glimmer-30b,nice,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
muse-glimmer-30b,nice,must,optional,180,166,0,46,120,0,14,0,0,46
muse-glimmer-30b,nice,must,recommended,180,166,0,13,153,0,14,0,0,13
muse-glimmer-30b,nice,must,mandatory,180,157,0,0,157,0,23,0,0,10
muse-glimmer-30b,nice,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
muse-glimmer-30b,nice,shall,optional,180,170,0,43,127,0,10,0,0,43
muse-glimmer-30b,nice,shall,recommended,180,167,0,15,152,0,13,0,0,15
muse-glimmer-30b,nice,shall,mandatory,180,169,0,0,169,0,11,0,0,0
qwen3.5-9b,all,all,nice_to_have,720,720,706,14,0,0,0,0,0,14
qwen3.5-9b,all,all,optional,720,720,0,12,708,0,0,0,0,12
qwen3.5-9b,all,all,recommended,720,720,2,86,632,0,0,0,0,86
qwen3.5-9b,all,all,mandatory,720,720,0,0,720,0,0,0,0,14
qwen3.5-9b,mlm_tapt,must,nice_to_have,180,180,176,4,0,0,0,0,0,4
qwen3.5-9b,mlm_tapt,must,optional,180,180,0,2,178,0,0,0,0,2
qwen3.5-9b,mlm_tapt,must,recommended,180,180,1,13,166,0,0,0,0,13
qwen3.5-9b,mlm_tapt,must,mandatory,180,180,0,0,180,0,0,0,0,4
qwen3.5-9b,mlm_tapt,shall,nice_to_have,180,180,177,3,0,0,0,0,0,3
qwen3.5-9b,mlm_tapt,shall,optional,180,180,0,2,178,0,0,0,0,2
qwen3.5-9b,mlm_tapt,shall,recommended,180,180,1,16,163,0,0,0,0,16
qwen3.5-9b,mlm_tapt,shall,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.5-9b,nice,must,nice_to_have,180,180,177,3,0,0,0,0,0,3
qwen3.5-9b,nice,must,optional,180,180,0,4,176,0,0,0,0,4
qwen3.5-9b,nice,must,recommended,180,180,0,29,151,0,0,0,0,29
qwen3.5-9b,nice,must,mandatory,180,180,0,0,180,0,0,0,0,10
qwen3.5-9b,nice,shall,nice_to_have,180,180,176,4,0,0,0,0,0,4
qwen3.5-9b,nice,shall,optional,180,180,0,4,176,0,0,0,0,4
qwen3.5-9b,nice,shall,recommended,180,180,0,28,152,0,0,0,0,28
qwen3.5-9b,nice,shall,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,all,all,nice_to_have,720,720,720,0,0,0,0,0,0,0
qwen3.6-27b,all,all,optional,720,720,0,0,720,0,0,0,0,0
qwen3.6-27b,all,all,recommended,720,720,0,0,720,0,0,0,0,0
qwen3.6-27b,all,all,mandatory,720,720,0,0,720,0,0,0,0,0
qwen3.6-27b,mlm_tapt,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.6-27b,mlm_tapt,must,optional,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,mlm_tapt,must,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,mlm_tapt,must,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,mlm_tapt,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.6-27b,mlm_tapt,shall,optional,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,mlm_tapt,shall,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,mlm_tapt,shall,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,nice,must,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.6-27b,nice,must,optional,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,nice,must,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,nice,must,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,nice,shall,nice_to_have,180,180,180,0,0,0,0,0,0,0
qwen3.6-27b,nice,shall,optional,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,nice,shall,recommended,180,180,0,0,180,0,0,0,0,0
qwen3.6-27b,nice,shall,mandatory,180,180,0,0,180,0,0,0,0,0
qwen3.8-27b,all,all,nice_to_have,720,720,720,0,0,0,0,0,0,0
