model,dataset,variant,source_modality,text_modality,n,n_strict,n_heuristic,n_frame_only,n_escalation,source_readable_n,strict_percentage
gemma4-12b-it,all,all,nice_to_have,mandatory,4,4,0,0,4,720,0.5555555555555556
gemma4-12b-it,all,all,optional,nice_to_have,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,optional,optional,720,0,0,0,0,720,0.0
gemma4-12b-it,all,all,optional,recommended,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,optional,mandatory,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,recommended,nice_to_have,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,recommended,optional,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,recommended,recommended,720,0,0,0,0,720,0.0
gemma4-12b-it,all,all,recommended,mandatory,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,mandatory,nice_to_have,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,mandatory,optional,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,mandatory,recommended,0,0,0,0,0,720,0.0
gemma4-12b-it,all,all,mandatory,mandatory,720,0,0,0,0,720,0.0
gemma4-12b-it,mlm_tapt,must,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,nice_to_have,optional,166,166,0,166,0,180,92.22222222222223
gemma4-12b-it,mlm_tapt,must,nice_to_have,recommended,12,12,0,0,12,180,6.666666666666667
gemma4-12b-it,mlm_tapt,must,nice_to_have,mandatory,2,2,0,0,2,180,1.1111111111111112
gemma4-12b-it,mlm_tapt,must,optional,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,optional,optional,180,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,optional,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,optional,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,recommended,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,recommended,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,recommended,recommended,180,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,recommended,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,mandatory,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,mandatory,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,mandatory,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,must,mandatory,mandatory,180,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,nice_to_have,optional,164,164,0,164,0,180,91.11111111111111
gemma4-12b-it,mlm_tapt,shall,nice_to_have,recommended,14,14,0,0,14,180,7.777777777777778
gemma4-12b-it,mlm_tapt,shall,nice_to_have,mandatory,2,2,0,0,2,180,1.1111111111111112
gemma4-12b-it,mlm_tapt,shall,optional,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,optional,optional,180,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,optional,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,optional,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,recommended,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,recommended,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,recommended,recommended,180,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,recommended,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,mandatory,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,mandatory,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,mandatory,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,mlm_tapt,shall,mandatory,mandatory,180,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,nice_to_have,optional,162,162,0,162,0,180,90.0
gemma4-12b-it,nice,must,nice_to_have,recommended,18,18,0,0,18,180,10.0
gemma4-12b-it,nice,must,nice_to_have,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,optional,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,optional,optional,180,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,optional,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,optional,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,recommended,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,recommended,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,recommended,recommended,180,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,recommended,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,mandatory,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,mandatory,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,mandatory,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,must,mandatory,mandatory,180,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,nice_to_have,optional,164,164,0,164,0,180,91.11111111111111
gemma4-12b-it,nice,shall,nice_to_have,recommended,16,16,0,0,16,180,8.88888888888889
gemma4-12b-it,nice,shall,nice_to_have,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,optional,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,optional,optional,180,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,optional,recommended,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,optional,mandatory,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,recommended,nice_to_have,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,recommended,optional,0,0,0,0,0,180,0.0
gemma4-12b-it,nice,shall,recommended,recommended,180,0,0,0,0,180,0.0
