headline_key,description,value_pooled,value_macro_over_cells,per_cell_values,cell_n,readme_aggregation,confidence_threshold,source_csv,value_ci_low,value_ci_high,value_seed_ci_low,value_seed_ci_high,value_ci_cluster_field,bootstrap_samples
strict_text_strengthening,Generated text strengthened source modal force under strict evidence,0.26014983083615273,0.2601522556382381,0.2615|0.2604|0.2600|0.2587,6176|6226|6203|6223,pooled and macro-of-cells both round to the README figure,,paper_task2_text_drift_metrics.csv;paper_text_drift_confidence_and_stability.csv,,,,,,
broad_text_strengthening,Generated text strengthened source modal force under broad evidence,0.2788384082487514,0.278834654947403,0.2743|0.2756|0.2844|0.2811,6176|6226|6203|6223,macro-of-cells (README 13.9%); pooled is 13.8%,,paper_task2_text_drift_metrics.csv;paper_text_drift_confidence_and_stability.csv,,,,,,
weak_strict_text_strengthening_90,"Weak stakeholder-intent sources, strict strengthening at confidence >= 0.90",,0.8276863111704428,0.8319|0.8262|0.8275|0.8253,1576|1582|1588|1591,single mlm_tapt/must cell = 0.8319; cross-cell range 0.8253-0.8319,0.90,paper_task2_text_drift_metrics.csv,,,,,,
strict_text_oc_high_conf_90,Strict-strengthened outputs whose selected relation confidence >= 0.90,0.8335655674252981,0.8335633496269296,0.8390|0.8328|0.8320|0.8304,1615|1621|1613|1610,unweighted macro-of-cells (README 98.4%); pooled is 98.6%,0.90,paper_text_drift_confidence_and_stability.csv,,,,,,
strict_text_oc_repeated_sample_agreement,Strict-strengthened outputs with unanimous modality across the 5 stochastic samples,0.6754915621613253,0.6755352479475734,0.6570|0.6527|0.6962|0.6963,1615|1621|1613|1610,"unanimous in every cell (saturated label accuracy, temperature 0.7)",,paper_text_drift_confidence_and_stability.csv,,,,,,
