model,prompt_run_id,n,valid_n,parse_success_rate,accuracy,nice_to_have_n,nice_to_have_accuracy,nice_to_have_to_recommended_rate,over_commitment,high_conf_overcommit_80,high_conf_overcommit_90
qwen/qwen3.5-9b:task2_default,task2-prompt-sensitivity-20260518-205559-4a662202-default,20,20,1.0,0.0,20,0.0,1.0,1.0,1.0,1.0
qwen/qwen3.5-9b:task2_labels_only,task2-prompt-sensitivity-20260518-205559-4a662202-labels_only,20,20,1.0,0.0,20,0.0,1.0,1.0,1.0,1.0
