model,item_context,stratum,run_id,n,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90,estimate_cohort,n_failed_items,n_unclassified_items
gpt-oss-20b,document,weak_intent,full-20260913-043057-a054d8f4,180,171,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.7777777777777778,full_arm_descriptive,0,9
gpt-oss-20b,bare,marker_M,full-20260913-042902-897f853b,620,473,0.8064516129032258,0.35095137420718814,0.3094574303405572,0.39463765656947475,0.3305258697591436,0.3717530114812724,0.4164904862579281,0.3725869308518606,0.46553874635350434,0.38527667984189723,0.44713934244028614,item_id,,full_arm_descriptive,0,147
gpt-oss-20b,document,marker_M,full-20260913-043057-a054d8f4,620,611,0.8838709677419355,0.4238952536824877,0.3831099181346706,0.4597734070771488,0.40486248053969903,0.4426276384870888,0.4238952536824877,0.3831099181346706,0.4597734070771488,0.40486248053969903,0.4426276384870888,item_id,,full_arm_descriptive,0,9
gpt-oss-20b,bare,marker_O,full-20260913-042902-897f853b,100,55,0.79,0.41818181818181815,0.29077922077922075,0.5510380014074595,0.3380190232302908,0.5334615384615383,0.4727272727272727,0.3333333333333333,0.6181818181818182,0.37699795081967213,0.5918367346938775,item_id,,full_arm_descriptive,0,45
gpt-oss-20b,document,marker_O,full-20260913-043057-a054d8f4,100,96,0.81,0.375,0.28125,0.47959183673469385,0.31176421682740274,0.4375,0.375,0.28125,0.47959183673469385,0.31176421682740274,0.4375,item_id,,full_arm_descriptive,0,4
gpt-oss-20b,bare,modality_mandatory,full-20260913-042902-897f853b,180,129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,51
gpt-oss-20b,document,modality_mandatory,full-20260913-043057-a054d8f4,180,176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,4
gpt-oss-20b,bare,modality_recommended,full-20260913-042902-897f853b,180,108,1.0,0.2222222222222222,0.14652870773351187,0.3051679074924758,0.14652870773351187,0.3051679074924758,0.3333333333333333,0.25,0.4245632424877708,0.25,0.4245632424877708,item_id,,full_arm_descriptive,0,72
gpt-oss-20b,document,modality_recommended,full-20260913-043057-a054d8f4,180,180,1.0,0.6722222222222223,0.6055555555555555,0.7333333333333333,0.6055555555555555,0.7333333333333333,0.6722222222222223,0.6055555555555555,0.7333333333333333,0.6055555555555555,0.7333333333333333,item_id,,full_arm_descriptive,0,0
gpt-oss-20b,bare,modality_optional,full-20260913-042902-897f853b,180,126,1.0,0.0,0.0,0.0,0.0,0.0,0.1746031746031746,0.1111111111111111,0.24369747899159663,0.1111111111111111,0.24369747899159663,item_id,,full_arm_descriptive,0,54
gpt-oss-20b,document,modality_optional,full-20260913-043057-a054d8f4,180,180,0.9944444444444445,0.016666666666666666,0.0,0.03888888888888889,0.0,0.03888888888888889,0.016666666666666666,0.0,0.03888888888888889,0.0,0.03888888888888889,item_id,,full_arm_descriptive,0,0
