dataset,variant,n,broad_text_oc_n,broad_text_oc_conf_ge_90,broad_text_oc_mean_confidence,strict_text_oc_n,strict_text_oc_conf_ge_90,strict_text_oc_mean_confidence,strict_text_oc_mean_modality_consistency_uncertainty,strict_text_oc_unanimous_modality_samples,strict_text_oc_mean_predictive_entropy,strict_text_oc_mean_variation_ratio,agreement_n_complete,agreement_n_incomplete_excluded
mlm_tapt,must,6176,1694,0.846517119244392,0.917733175914994,1615,0.8390092879256966,0.915374613003096,0.10835913312693499,0.6569659442724458,0.15633153466195893,0.10835913312693499,1615,0
mlm_tapt,shall,6226,1716,0.8420745920745921,0.9176864801864801,1621,0.8328192473781616,0.9147254780999383,0.10993214065391733,0.6526835286859963,0.1581664797353984,0.10993214065391733,1621,0
nice,must,6203,1764,0.8463718820861678,0.9196485260770975,1613,0.8319900805951643,0.915368877867328,0.09683818970861748,0.6962182269063856,0.14057058087416233,0.09683818970861748,1613,0
nice,shall,6223,1749,0.8439108061749572,0.9191652372784448,1610,0.8304347826086956,0.9150124223602485,0.09826086956521739,0.6962732919254658,0.14199121065417963,0.09826086956521739,1610,0
