dataset,variant,models,n,label_accuracy,macro_f1,label_over_commitment,label_under_commitment,label_high_conf_overcommit_90_all,label_high_conf_overcommit_90_overcommittable,weak_recall,weak_strengthening_90_label,brier,ece,text_modality_parse_coverage,heuristic_text_modality_rate,label_text_consistency,text_over_commitment,strict_text_over_commitment,text_under_commitment,text_high_conf_overcommit_80,text_high_conf_overcommit_90,label_correct_text_overcommit_80,label_correct_text_overcommit_90,parse_failure_rate,weak_n,weak_n_readable,weak_strict_text_strengthening_90,weak_strict_text_strengthening_90_all_weak,text_over_commitment_n_numerator,text_over_commitment_n_denominator,text_over_commitment_n_unknown_excluded,text_over_commitment_lower_bound,text_over_commitment_upper_bound,strict_text_over_commitment_n_numerator,strict_text_over_commitment_n_denominator,strict_text_over_commitment_n_unknown_excluded,strict_text_over_commitment_lower_bound,strict_text_over_commitment_upper_bound,text_modality_negated_rate,text_modality_multi_modal_rate,mean_requirement_word_count,mean_source_word_count,mean_length_ratio,mean_completion_tokens,length_tercile_bounds,strengthening_rate_by_length_tercile,mean_requirement_word_count_by_source_modality
mlm_tapt,must,9,6480,0.9120370370370371,0.9089116647505651,0.08796296296296297,0.0,0.08040123456790123,0.10720164609053498,0.6487654320987655,0.32098765432098764,0.07866487654320987,0.05472839506172833,0.9530864197530864,0.014896373056994818,0.7700777202072538,0.27428756476683935,0.2614961139896373,0.0,0.27250647668393785,0.23218911917098445,0.1949238578680203,0.1598984771573604,0.0,1620,1576,0.8318527918781726,0.8092592592592592,1694,6176,304,0.26141975308641974,0.30833333333333335,1615,6176,304,0.2492283950617284,0.296141975308642,0.0,0.0,16.92716049382716,18.572222222222223,0.9213416701614031,72.05941358024691,"t1:[0.200,0.938]|t2:[0.938,1.000]|t3:[1.000,1.083]","t1:n=1856,broad=0.8739,strict=0.8481|t2:n=2160,broad=0.0125,strict=0.0009|t3:n=2160,broad=0.0208,strict=0.0181",mandatory=16.87|recommended=16.91|optional=16.91|nice_to_have=17.02
mlm_tapt,shall,9,6480,0.912962962962963,0.9098489689941791,0.08703703703703704,0.0,0.07854938271604939,0.10473251028806585,0.6524691358024691,0.3135802469135803,0.07779518518518519,0.05333950617283945,0.9608024691358025,0.016061676839061997,0.7659813684548666,0.2756183745583039,0.260359781561195,0.0,0.27417282364278833,0.23209123032444587,0.19895199459093982,0.1627789046653144,0.0,1620,1582,0.8261694058154235,0.8067901234567901,1716,6226,254,0.26481481481481484,0.30401234567901236,1621,6226,254,0.25015432098765433,0.28935185185185186,0.0,0.0,16.960493827160494,18.572222222222223,0.9231171729759495,72.00663580246913,"t1:[0.150,0.941]|t2:[0.941,1.000]|t3:[1.000,1.083]","t1:n=1906,broad=0.8625,strict=0.8316|t2:n=2160,broad=0.0153,strict=0.0009|t3:n=2160,broad=0.0181,strict=0.0157",mandatory=16.95|recommended=16.93|optional=16.94|nice_to_have=17.03
nice,must,9,6480,0.9248456790123457,0.9229341723337667,0.07515432098765432,0.0,0.06944444444444445,0.09259259259259259,0.7,0.2771604938271605,0.06816891975308642,0.04506481481481493,0.957253086419753,0.02788973077543124,0.7610833467676931,0.2843785265194261,0.2600354667096566,0.00016121231662098983,0.28244397871997423,0.24068998871513783,0.21391623560820958,0.17603871183046887,0.0,1620,1588,0.827455919395466,0.8111111111111111,1764,6203,277,0.2722222222222222,0.31496913580246916,1613,6203,277,0.24891975308641975,0.2916666666666667,0.0,0.0,14.045216049382717,15.511111111111111,0.9174152954723443,65.29614197530864,"t1:[0.333,0.944]|t2:[0.944,1.000]|t3:[1.000,1.074]","t1:n=1883,broad=0.9102,strict=0.8417|t2:n=2160,broad=0.0102,strict=0.0005|t3:n=2160,broad=0.0130,strict=0.0125",mandatory=14.02|recommended=14.02|optional=13.98|nice_to_have=14.16
nice,shall,9,6480,0.9239197530864197,0.9220033606156003,0.07608024691358024,0.0,0.0705246913580247,0.09403292181069958,0.695679012345679,0.2820987654320988,0.06887260802469135,0.046677469135802556,0.9603395061728395,0.02346135304515507,0.7649043869516311,0.2810541539450426,0.25871766029246346,0.0,0.27912582355776955,0.2371846376345814,0.21062301653582763,0.17170536161683647,0.0,1620,1591,0.825267127592709,0.8104938271604938,1749,6223,257,0.26990740740740743,0.3095679012345679,1610,6223,257,0.24845679012345678,0.2881172839506173,0.0,0.0,14.054938271604938,15.511111111111111,0.9180883487646827,65.42422839506173,"t1:[0.261,0.950]|t2:[0.950,1.000]|t3:[1.000,1.000]","t1:n=1903,broad=0.9017,strict=0.8339|t2:n=2160,broad=0.0046,strict=0.0005|t3:n=2160,broad=0.0106,strict=0.0102",mandatory=14.06|recommended=14.03|optional=13.97|nice_to_have=14.16
