model,dataset,variant,source_modality,n_items,n_valid,n_parse_failures,n_text_unclassified,broad_strengthening_n,broad_strengthening_denominator,broad_strengthening_rate,broad_strengthening_ci_low,broad_strengthening_ci_high,broad_strengthening_seed_ci_low,broad_strengthening_seed_ci_high,strict_strengthening_n,strict_strengthening_denominator,strict_strengthening_rate,strict_strengthening_ci_low,strict_strengthening_ci_high,strict_strengthening_seed_ci_low,strict_strengthening_seed_ci_high,strengthening_ci_cluster_field,strict_high_conf_share_90,agreement_n_complete,agreement_n_incomplete_excluded,requirement_word_count_n,mean_requirement_word_count
muse-glimmer-30b,all,all,optional,720,720,0,49,121,671,0.18032786885245902,0.14769640393717204,0.21667347696879644,0.14769640393717204,0.21667347696879644,0,671,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.275
muse-glimmer-30b,all,all,nice_to_have,720,720,0,0,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,item_id,0.7236111111111111,720,0,720,15.644444444444444
qwen3.5-9b,all,all,mandatory,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.669444444444444
qwen3.5-9b,all,all,recommended,720,720,0,0,88,720,0.12222222222222222,0.09163194444444445,0.15416666666666667,0.09163194444444445,0.15416666666666667,2,720,0.002777777777777778,0.0,0.008333333333333333,0.0,0.008333333333333333,item_id,1.0,2,0,720,15.555555555555555
qwen3.5-9b,all,all,optional,720,720,0,0,12,720,0.016666666666666666,0.005555555555555556,0.029166666666666667,0.005555555555555556,0.029166666666666667,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.680555555555555
qwen3.5-9b,all,all,nice_to_have,720,720,0,0,720,720,1.0,1.0,1.0,1.0,1.0,706,720,0.9805555555555555,0.9680555555555556,0.9930555555555556,0.9680555555555556,0.9930555555555556,item_id,1.0,706,0,720,15.580555555555556
qwen3.6-27b,all,all,mandatory,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.658333333333333
qwen3.6-27b,all,all,recommended,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.658333333333333
qwen3.6-27b,all,all,optional,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.652777777777779
qwen3.6-27b,all,all,nice_to_have,720,720,0,0,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,item_id,1.0,720,0,720,15.629166666666666
qwen3.8-27b,all,all,mandatory,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.651388888888889
qwen3.8-27b,all,all,recommended,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.677777777777777
qwen3.8-27b,all,all,optional,720,720,0,0,0,720,0.0,0.0,0.0,0.0,0.0,0,720,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,720,15.7
qwen3.8-27b,all,all,nice_to_have,720,720,0,0,720,720,1.0,1.0,1.0,1.0,1.0,720,720,1.0,1.0,1.0,1.0,1.0,item_id,0.9986111111111111,720,0,720,15.60138888888889
all,all,all,mandatory,6480,6480,0,298,0,6182,0.0,0.0,0.0,0.0,0.0,0,6182,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,6480,15.476851851851851
all,all,all,recommended,6480,6480,0,303,336,6177,0.054395337542496355,0.04785851309163647,0.06125532504756286,0.04785851309163647,0.06125532504756286,127,6177,0.02056014246397928,0.017006733867636126,0.024709501916068678,0.017006733867636126,0.024709501916068678,item_id,1.0,127,0,6480,15.469907407407407
all,all,all,optional,6480,6480,0,348,251,6132,0.040932811480756684,0.0350037160097935,0.04732803425562956,0.0350037160097935,0.04732803425562956,12,6132,0.0019569471624266144,0.0008140571434021883,0.003413537931075307,0.0008140571434021883,0.003413537931075307,item_id,1.0,12,0,6480,15.451234567901235
all,all,all,nice_to_have,6480,6480,0,143,6336,6337,0.9998421966230078,0.9995251624328572,1.0,0.9995251624328572,1.0,6320,6337,0.9973173425911315,0.9958853108325405,0.9987405838694264,0.9958853108325405,0.9987405838694264,item_id,0.8299050632911392,6320,0,6480,15.589814814814815
