model,dataset,variant,source_modality,n_items,n_valid,n_parse_failures,n_text_unclassified,broad_strengthening_n,broad_strengthening_denominator,broad_strengthening_rate,broad_strengthening_ci_low,broad_strengthening_ci_high,broad_strengthening_seed_ci_low,broad_strengthening_seed_ci_high,strict_strengthening_n,strict_strengthening_denominator,strict_strengthening_rate,strict_strengthening_ci_low,strict_strengthening_ci_high,strict_strengthening_seed_ci_low,strict_strengthening_seed_ci_high,strengthening_ci_cluster_field,strict_high_conf_share_90,agreement_n_complete,agreement_n_incomplete_excluded,requirement_word_count_n,mean_requirement_word_count
gemma4-12b-it,all,all,all,2880,2880,0,0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,item_id,1.0,720,0,2880,15.651736111111111
gemma4-31b-it,all,all,all,2880,2880,0,0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,719,2880,0.24965277777777778,0.22743055555555555,0.27152777777777776,0.24895833333333334,0.25,item_id,1.0,719,0,2880,15.656944444444445
glm-5.3,all,all,all,2880,2880,0,0,725,2880,0.2517361111111111,0.22950520833333332,0.27395833333333336,0.25,0.2548611111111111,725,2880,0.2517361111111111,0.22950520833333332,0.27395833333333336,0.25,0.2548611111111111,item_id,0.44275862068965516,725,0,2880,15.65625
glm-5.3-flash,all,all,all,2880,2880,0,1,753,2879,0.2615491490100729,0.238971865230983,0.2836854839877229,0.25772837790899616,0.2659722222222222,752,2879,0.26120180618270233,0.23862452240361237,0.28318652999768357,0.2575554852096788,0.265625,item_id,0.49867021276595747,752,0,2880,15.676736111111111
gpt-oss-20b,all,all,all,2880,2880,0,909,837,1971,0.4246575342465753,0.3959154414453953,0.4518882112657812,0.405683287350918,0.44444585879158177,675,1971,0.3424657534246575,0.316797113438094,0.37103284378599616,0.328542219434491,0.35688391130146446,item_id,0.8607407407407407,675,0,2880,14.524652777777778
muse-glimmer-30b,all,all,all,2880,2880,0,182,908,2698,0.3365455893254262,0.31210425900410976,0.36064600692876836,0.32508242981502256,0.34995403518409124,720,2698,0.2668643439584878,0.24298665135139838,0.28961340885613446,0.2628672620142148,0.2708803611738149,item_id,0.7236111111111111,720,0,2880,15.377430555555556
qwen3.5-9b,all,all,all,2880,2880,0,0,820,2880,0.2847222222222222,0.26180555555555557,0.3076388888888889,0.2763888888888889,0.2934027777777778,708,2880,0.24583333333333332,0.22394965277777779,0.2677083333333333,0.2423611111111111,0.24930555555555556,item_id,1.0,708,0,2880,15.621527777777779
qwen3.6-27b,all,all,all,2880,2880,0,0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,item_id,1.0,720,0,2880,15.649652777777778
qwen3.8-27b,all,all,all,2880,2880,0,0,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,720,2880,0.25,0.22777777777777777,0.27152777777777776,0.25,0.25,item_id,0.9986111111111111,720,0,2880,15.657638888888888
