model,prompt_run_id,n,accuracy,weak_source_high_p_yes_80,weak_source_high_p_yes_90,mean_weak_p_yes
qwen/qwen3.5-9b:default,prompt-sensitivity-20260518-204754-e546b407-default,80,1.0,0.0,0.0,0.02916666666666669
qwen/qwen3.5-9b:strict,prompt-sensitivity-20260518-204754-e546b407-strict,80,1.0,0.0,0.0,0.0
