model,run_id,template_id,sample_kind,n,valid_n,parse_success_rate,accuracy,to_recommended_rate,over_commitment,high_conf_overcommit_80,high_conf_overcommit_90,pred_mandatory_rate,pred_recommended_rate,pred_optional_rate,pred_nice_to_have_rate,mean_confidence,unresolved_n,no_readable_cue_n,strict_text_over_commitment,strict_text_over_commitment_n_numerator,strict_text_over_commitment_n_denominator,strict_text_over_commitment_ci_low,strict_text_over_commitment_ci_high,strict_text_over_commitment_seed_ci_low,strict_text_over_commitment_seed_ci_high,text_over_commitment,text_over_commitment_n_numerator,text_over_commitment_n_denominator,text_over_commitment_ci_low,text_over_commitment_ci_high,text_over_commitment_seed_ci_low,text_over_commitment_seed_ci_high,bootstrap_ci_cluster_field
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,future_enhancement,deterministic,180,180,1.0,0.6111111111111112,0.0,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.0,0.0,0.3888888888888889,0.6111111111111112,0.8658333333333335,0,0,0.6111111111111112,110,180,0.53875,0.6833333333333333,0.53875,0.6833333333333333,0.6111111111111112,110,180,0.53875,0.6833333333333333,0.53875,0.6833333333333333,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,low_priority_enhancement,deterministic,180,180,1.0,0.9333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.027777777777777776,0.0,0.0,0.06666666666666667,0.9333333333333333,0.9127777777777778,0,1,1.0,179,179,1.0,1.0,1.0,1.0,1.0,179,179,1.0,1.0,1.0,1.0,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,nice_if,deterministic,180,180,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9390000000000001,0,0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,useful_if,deterministic,180,180,1.0,0.9888888888888889,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,0.011111111111111112,0.0,0.9888888888888889,0.8641666666666667,0,0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,future_enhancement,stochastic,900,900,1.0,0.5877777777777777,0.0,0.4122222222222222,0.4111111111111111,0.24,0.0,0.0,0.4122222222222222,0.5877777777777777,0.8664444444444444,0,0,0.5722222222222222,515,900,0.5310833333333334,0.6144444444444445,0.5310833333333334,0.6144444444444445,0.5722222222222222,515,900,0.5310833333333334,0.6144444444444445,0.5310833333333334,0.6144444444444445,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,low_priority_enhancement,stochastic,900,900,1.0,0.9388888888888889,0.0,0.06111111111111111,0.06111111111111111,0.035555555555555556,0.0,0.0,0.06111111111111111,0.9388888888888889,0.9091111111111112,0,1,1.0,899,899,1.0,1.0,1.0,1.0,1.0,899,899,1.0,1.0,1.0,1.0,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,nice_if,stochastic,901,900,0.9988901220865705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9401555555555554,1,0,1.0,900,900,1.0,1.0,1.0,1.0,1.0,900,900,1.0,1.0,1.0,1.0,item_id
glm-5.3,weak-probe-must-20260912-154041-c7e3e3e5,useful_if,stochastic,900,900,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8637222222222224,0,0,1.0,900,900,1.0,1.0,1.0,1.0,1.0,900,900,1.0,1.0,1.0,1.0,item_id
